source_group,path,relative_path,manifest_read_status,top_level_keys,feature_or_contract_keys,horizon_references,mentions_rainfall_or_spi,mentions_temporal_features,error
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi12\v2_20260617\feature_contract.json,spi12\v2_20260617\feature_contract.json,read_ok,"target_key, release_version, feature_policy, feature_list_status, model_features, raw_features, hydrology_features, hydrology_missingness_indicators, engineered_temporal_features, model_feature_count, raw_feature_count, hydrology_feature_count, hydrology_missingness_indicator_count, engineered_temporal_feature_count, spi_leakage_guard",engineered_temporal_feature_count | engineered_temporal_features | feature_list_status | feature_policy | hydrology_feature_count | hydrology_features | model_feature_count | model_features | raw_feature_count | raw_features | spi_leakage_guard.spi_named_features_present,spi12,True,True,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi12\v2_20260617\metrics.json,spi12\v2_20260617\metrics.json,read_ok,"target_key, release_version, source_metrics_path, metrics_payload, metrics_status",metrics_payload.engineered_temporal_feature_cols | metrics_payload.engineered_temporal_feature_count | metrics_payload.evaluations.test.feature_availability | metrics_payload.evaluations.test.feature_availability.feature_count | metrics_payload.evaluations.test.feature_availability.hydrology_rows_with_all_features_missing_ratio | metrics_payload.evaluations.test.feature_availability.hydrology_rows_with_any_feature_ratio | metrics_payload.evaluations.test.feature_availability.mean_valid_feature_count_per_row | metrics_payload.evaluations.test.feature_availability.median_valid_feature_count_per_row | metrics_payload.evaluations.test.feature_availability.rows_with_all_features_missing_ratio | metrics_payload.evaluations.test.feature_availability.rows_with_any_feature_ratio | metrics_payload.evaluations.valid.feature_availability | metrics_payload.evaluations.valid.feature_availability.feature_count | metrics_payload.evaluations.valid.feature_availability.hydrology_rows_with_all_features_missing_ratio | metrics_payload.evaluations.valid.feature_availability.hydrology_rows_with_any_feature_ratio | metrics_payload.evaluations.valid.feature_availability.mean_valid_feature_count_per_row | metrics_payload.evaluations.valid.feature_availability.median_valid_feature_count_per_row | metrics_payload.evaluations.valid.feature_availability.rows_with_all_features_missing_ratio | metrics_payload.evaluations.valid.feature_availability.rows_with_any_feature_ratio | metrics_payload.model_feature_cols | metrics_payload.raw_feature_cols | metrics_payload.raw_feature_count | metrics_payload.temporal_feature_policy | metrics_payload.total_model_feature_count | metrics_payload.train_feature_availability | metrics_payload.train_feature_availability.feature_count | metrics_payload.train_feature_availability.hydrology_rows_with_all_features_missing_ratio | metrics_payload.train_feature_availability.hydrology_rows_with_any_feature_ratio | metrics_payload.train_feature_availability.mean_valid_feature_count_per_row | metrics_payload.train_feature_availability.median_valid_feature_count_per_row | metrics_payload.train_feature_availability.rows_with_all_features_missing_ratio | metrics_payload.train_feature_availability.rows_with_any_feature_ratio,spi12,True,True,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi12\v2_20260617\model_manifest.json,spi12\v2_20260617\model_manifest.json,read_ok,"package_name, release_version, target_key, label_col, selected_candidate, selected_model_family, model_role, model_file, model_format, source_model_path, source_metrics_path, source_lock_json, api_function, cli_target, prototype_status, lock_type, bundle_created_utc, bundle_created_by_notebook, bundle_created_by_cell, checksums_status, checksums_generated_utc, checksums_file",,spi12,True,True,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi12\v2_20260617\preprocessing_contract.json,spi12\v2_20260617\preprocessing_contract.json,read_ok,"target_key, release_version, temporal_reconstruction_required, expected_time_column, expected_pixel_columns, missing_value_policy, temporal_policy",expected_pixel_columns | expected_time_column,spi12,True,True,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi12\v2_20260617\source_lock.json,spi12\v2_20260617\source_lock.json,read_ok,"run_id, created_utc, notebook, cell, stage, prototype_status, lock_type, target_key, label_col, selected_candidate, selected_candidate_type, selected_model_family, final_model_family_decision, class4_unresolved, class4_policy, feature_policy, features, locked_artifacts, selected_split_models, whole_window_metrics, stability_summary, stability_flags, selection_metrics, handoff",feature_policy | feature_policy.exclude_from_primary_spi12_core | feature_policy.include | feature_policy.reason | features | features.engineered_temporal_feature_count | features.engineered_temporal_features | features.hydrology_feature_count | features.hydrology_features | features.hydrology_missingness_indicator_count | features.hydrology_missingness_indicators | features.model_features | features.raw_feature_count | features.raw_features | features.total_model_feature_count | selected_split_models[0].engineered_temporal_feature_count_norm | selected_split_models[0].raw_feature_count_norm | selected_split_models[0].total_model_feature_count_norm | selected_split_models[1].engineered_temporal_feature_count_norm | selected_split_models[1].raw_feature_count_norm | selected_split_models[1].total_model_feature_count_norm | selected_split_models[2].engineered_temporal_feature_count_norm | selected_split_models[2].raw_feature_count_norm | selected_split_models[2].total_model_feature_count_norm | selection_metrics.engineered_temporal_feature_count | selection_metrics.raw_feature_count | selection_metrics.total_model_feature_count | whole_window_metrics[0].feature_availability | whole_window_metrics[1].feature_availability | whole_window_metrics[2].feature_availability | whole_window_metrics[3].feature_availability,"spi3, spi6, spi12",True,True,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi12\v2_20260617\target_contract.json,spi12\v2_20260617\target_contract.json,read_ok,"target_key, label_col, release_version, spi_horizon_months, class_count, class_mapping, prediction_outputs, intended_role",,spi12,True,True,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi12\v2_20260617\thresholds.json,spi12\v2_20260617\thresholds.json,read_ok,"target_key, release_version, thresholds, threshold_status, threshold_usage, warning_policy",,spi12,True,False,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi3\v2_20260617\checksums.json,spi3\v2_20260617\checksums.json,read_ok,"package_name, release_version, target_key, bundle_dir, created_utc, created_by_notebook, created_by_cell, checksum_algorithm, checksums_json_policy, required_files, missing_required_files, required_file_status, file_count_excluding_checksums_json, files",,spi3,True,False,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi3\v2_20260617\class_mapping.json,spi3\v2_20260617\class_mapping.json,read_ok,"target_key, release_version, class_mapping",,spi3,True,False,
training_release_package_artifacts,C:\Projects\ramangwana\risks\data\drought_model\processed\package_releases\rozvidrought_v2\rozvidrought\artifacts\spi3\v2_20260617\feature_contract.json,spi3\v2_20260617\feature_contract.json,read_ok,"target_key, release_version, feature_policy, feature_list_status, model_features, raw_features, hydrology_features, hydrology_missingness_indicators, engineered_temporal_features, model_feature_count, raw_feature_count, hydrology_feature_count, hydrology_missingness_indicator_count, engineered_temporal_feature_count, spi_leakage_guard",engineered_temporal_feature_count | engineered_temporal_features | feature_list_status | feature_policy | hydrology_feature_count | hydrology_features | model_feature_count | model_features | raw_feature_count | raw_features | spi_leakage_guard.spi_named_features_present,spi3,True,True,
